AAB	Abelag Aviation - Belgium	ABG
EAK	Euro-Asia Air - Kazakhstan	EAKAZ
EAL	Eastern Air Lines - United States	EASTERN
EAL	European Air Express - Germany	STAR WING
EAM	Embassy Airlines - Nigeria	EMBASSY AIR
EAN	Skypower Express Airways - Nigeria	NIGERIA EXPRESS
EAP	Aero-Pyrenees - France	AERO-PYRENEES
EAQ	Eastern Australia Airlines - Australia	EASTERN
EAR	Transporte Ejecutivo Aéreo - Mexico	EJECUTIVO-AEREO
EAT	Air Transport - Slovakia	TRANS EUROPE
EAV	Eagle Airlines Luftverkehrsges - Austria	MAYFLOWER
EAX	Eastern Air Executive - United Kingdom	EASTEX
EAZ	Eastern Air - Zambia	EASAIR
EBA	Bond Aviation - Italy	BOND AVIATION
EBC	Aero Ejecutivo De Baja California - Mexico	CALIXJET
EBE	Minebea Technologies - United States	MINEBEA
EBF	MSR Flug-Charter - Germany	SKYRUNNER
EBG	Eurosense - Bulgaria	EUROSENSE
ECA	Eurocypria Airlines - Cyprus	EUROCYPRIA
ECB	European Coastal Airlines - Croatia	COASTAL CLIPPER
ECC	Crossair Europe - Switzerland	Cigogne
ECC	Eclair Aviation - Czech Republic	ECLAIR
ECD	Ecotour - Mexico	ECOTOUR
ECE	Air City - Germany	AIRCITY
ECF	Eurocopter - France	EUROCOPTER
ECG	Aero Ejecutivos RCG - Mexico	EJECTUIVOS RCG
ECI	Eastern Carolina Aviation - United States	EASTERN CAROLINA
ECJ	East Coast Jets - United States	EASTCOAST JET
ECL	Aeronáutica Castellana - Spain	AERO CASTELLANA
ECM	Aerolíneas Comerciales - Mexico	AERO COMERCIALES
ECN	Euro Continental AIE - Spain	EURO CONTINENTAL
ECQ	Eco Air - Nigeria	SKYBRIDGE
ECS	Executive Aircraft Charter and Charter Services - Ireland	ECHO
ECT	East Coast Airways - South Africa	EASTWAY
ECU	Ecuavia - Ecuador	ECUAVIA
ECV	Ecuatoguineana De Aviación?(EGA) - Equatorial Guinea	EQUATOGUINEA
ECX	Ecomex Air Cargo - Angola	AIR ECOMEX
ECY	Euroceltic Airways - United Kingdom	ECHELON
EDC	Edinburgh Air Charter - United Kingdom	SALTIRE
EDD	Líneas Aéreas Ejectuivas De Durango - Mexico	LINEAS DURANGO
EDJ	Edwards Jet Center of Montana - United States	EDWARDS
EDL	Polizeihubschrauberstaffel Bayern - Germany	POLICE EDELWEISS
EDO	Elidolomiti - Italy	ELIDOLOMITI
EDR	Líneas Aéreas Eldorado - Colombia	ELDORADRO
EDW	Edelweiss Air - Switzerland	EDELWEISS
EDY	Apollo Air Service - United Kingdom	STOBART
EEA	Empresa Ecuatoriana De Aviación - Ecuador	ECUATORIANA
EEF	Estonian Air Force - Estonia	ESTONIAN AIR FORCE
EET	Air Este - Spain	AESTE
EEU	Eurofly Service - Italy	EUROFLY
EEZ	Eurofly - Italy	E-FLY
EFC	Air Mana - France	FLIGHT TAXI
EFD	Eisele Flugdienst - Germany	EVER FLIGHT
EFG	Elifriulia - Italy	ELIFRIULIA
EFS	EFAOS- Agencia De Viagens e Turismo - Angola	EFAOS
EFT	Embassy Freight Company - United States	EMBASSY FREIGHT
EGJ	Eagle Jet Charter - United States	EAGLE JET
EGL	Capital Trading Aviation - United Kingdom	PRESTIGE
EGN	Eagle Aviation France - France	FRENCH EAGLE
EGO	Gauteng Air Cargo - South Africa	GAUTENG
EGV	Enrique Gleisner Vivanco - Chile	GLEISNER
EGX	Eagle Air Company - Thailand	THAI EAGLE
EHA	East Hampton Aire - United States	AIRE HAMPTON
EHD	E H Darby Aviation - United States	PLATINUM AIR
EHR	Valfell-Verkflug - Iceland	ROTOR
EIA	Evergreen International Airlines - United States	EVERGREEN
EIC	Express International Cargo - S?o Tomé and Príncipe	EXCARGO
EIJ	Efata Papua Airlines - Indonesia	EFATA
EIN	Aer Lingus - Ireland	SHAMROCK
EIR	Eirjet - Ireland	EIRJET
EIS	EIS Aircraft - Germany	COOL
EIX	Ei Air Exports - Ireland	AIR EXPORTS
EJA	NetJets - United States	EXECJET
EJC	Grupo De Aviación Ejecutiva - Mexico	GRUPOEJECUTIVA
EJD	Elite Jets - United Arab Emirates	ELITE DUBAI
EJM	Executive Jet Management - United States	JET SPEED
EJO	Execujet Middle East - United Arab Emirates	MIDJET
EJP	Aeroservicios Ejecutivos Corporativos - Mexico	EJECCORPORATIVOS
EJS	Eurojet Servis - Czech Republic	EEJAY SERVICE
EJT	Eclipse Aviation - United States	ECLIPSE JET
EJV	Compania Ejecutiva - Mexico	EJECUTIVA
EKA	Equaflight Service - Republic of the Congo	EQUAFLIGHT
EKC	East Kansas City Aviation - United States	BLUE GOOSE
ELB	Ellinair - Greece	ELLINAIR HELLAS
ELH	Elilario Italia - Italy	LARIO
ELJ	Delta Private Jets - United States	ELITE JET
ELL	Estonian Air - Estonia	ESTONIAN
ELM	Crelam - Mexico	CRELAM
ELN	Eleron Aviation Company - Ukraine	ELERON
ELO	Eurolot - Poland	EUROLOT
ELS	El Sal Air - El Salvador	EL SAL
ELT	Elliott Aviation - United States	ELLIOT
ELU	Egyptian Leisure Airlines - Egypt	EGYPTIAN LEISURE
ELV	Transportes Aéreos Nacionales De Selva Tans - Peru	AEREOS SELVA
ELW	Yellow Wings Air Services - Kenya	YELLOW WINGS
ELX	Elan Express - United States	ELAN
ELY	El Al Israel Airlines - Israel	ELAL
EMB	Empresa Brasileira De Aeronáutica - Brazil	EMBRAER
EMD	Eaglemed?(Ballard Aviation) - United States	EAGLEMED
EME	Eastern Metro Express - United States	EMAIR
EMI	Premium Air Shuttle - Nigeria	BLUE SHUTTLE
EMN	Examiner Training Agency - United Kingdom	AGENCY
EMP	Empire Air Service - United States	EMPIRE
EMR	Zenmour Airlines - Mauritania	ZENMOUR
EMS	Aero Servicios Empresariales - Mexico	SERVIEMPRESARIAL
EMT	Emetebe - Ecuador	EMETEBE
EMU	Sky Shuttle Helicopters - Hong Kong	East Asia
EMX	Euromanx Airways - Austria	EUROMANX
ENA	Dirección General de Aviación Civil y Telecomunicasciones - Spain	ENA
ENC	Endecots - Ecuador	ENDECOTS
END	Arrendadora y Transportadora Aérea - Mexico	ARRENDADORA
ENI	Enimex - Estonia	ENIMEX
ENK	Enkor?JSC - Russia	ENKOR
ENK	Executive Airlink - United States	SUNBIRD
ENS	Entergy Services - United States	ENTERGY SHUTTLE
ENT	Enter Air - Poland	ENTER
ENV	Victoria Aviation - United Kingdom	ENDEAVOUR
ENW	Aeronaves Del Noroeste - Spain	AERONOR
ENY	Envoy Air - United States	ENVOY
ENZ	Jota Aviation - United Kingdom	ENZO
EOA	Elilombarda - Italy	LOMBARDA
EOL	Airailes - France	EOLE
EOM	Aero Ermes - Mexico	AERO ERMES
EPA	Donghai Airlines - China	DONGHAI AIR/东海
EPB	Donghai Jet - China	DONG JET/东捷
EPC	Espace Aviation Services - Democratic Republic of the Congo	ESPACE
EPE	Aero Empresarial - Mexico	AEROEMPRESARIAL
EPL	Aero Transportes Empresariales - Mexico	EMPRESARIALES
EPR	Express Airways - Slovenia	EMPEROR
EPU	Aero Elite Acapulco - Mexico	ELITACAPULCO
EQC	Ecuatorial Cargo - Equatorial Guinea	ECUA-CARGO
EQZ	Equatair Air Services (Zambia) - Zambia	ZAMBIA CARGO
ERC	Esso Resources Canada - Canada	ESSO
ERE	Erie Airways - United States	AIR ERIE
ERF	Erfoto - Portugal	ERFOTO
ERH	Era Helicopters - United States	ERAH
ERI	Aero Servicios Regiomontanos - Mexico	ASERGIO
ERJ	Eurojet Italia - Italy	JET ITALIA
ERK	Aerosec - Chile	AEROSEC
ERM	Aeromaan - Mexico	EOMAAN
ERO	Sun D'Or - Israel	ECHO ROMEO
ERT	Eritrean Airlines - Eritrea	ERITREAN
ERV	Yerevan-Avia - Armenia	YEREVAN-AVIA
ERX	Earth Airlines Services - Nigeria	EARTH AIR
ESB	Aereosaba - Mexico	AEREOSABA
ESC	El Sol De América - Venezuela	SOLAMERICA
ESE	Ensenada Vuelos Especiales - Mexico	ENSENADA ESPECIAL
ESI	ESI Eliservizi Italiani - Italy	ELISERVIZI
ESJ	Eastern SkyJets - United Arab Emirates	EASTERN SKYJETS
ESL	Russian Sky Airlines - Russia	RADUGA
ESN	Euro Sun - Turkey	EURO SUN
ESR	Eastar Jet - South Korea	EASTAR
ESS	Eos Airlines - United States	NEW DAWN
EST	Carga Express Internacional - Mexico	CARGAINTER
ESU	Aerolíneas Ejecutivas Del Sureste - Mexico	ALESUR
ESX	Euroskylink - United Kingdom	CATFISH
ESZ	Aeronáutica La Esperanza - Mexico	ESPERANZA
ETA	Estrellas Del Aire - Mexico	ESTRELLAS
ETC	African Transport Trading and Investment Company - Sudan	TRANATTICO
ETD	Etihad Airways - United Arab Emirates	ETIHAD
ETE	Aero Siete - Mexico	AEROSIETE
ETH	Ethiopian Airlines - Ethiopia	ETHIOPIAN
ETL	Patterson Aviation Company - United States	ENTEL
ETM	Etram Air Wing - Angola	ETRAM
ETN	Chim-Nir Aviation - Israel	CHMINIR
ETP	Empire Test Pilots' School - United Kingdom	TESTER
ETS	Flygtransporter I Nykoping - Sweden	EXTRANS
ETV	European Executive - United Kingdom	EURO EXEC
EUG	Euroguineana de Aviación - Equatorial Guinea	EUROGUINEA
EUP	Euroair - Greece	EUROSTAR
EUT	European 2000 Airlines - Malta	FIESTA
EUU	Euroamerican Air - Uruguay	EUROAMERICAN
EUW	EFS European Flight Service - Sweden	EUROWEST
EUY	EU Airways - Ireland	EUROAIRWAYS
EVA	EVA Air - Taiwan	EVA
EVE	Air Evex - Germany	SUNBEAM
EVK	Everett Aviation - Kenya	EVERETT
EVM	Natural Environment Research Council - United Kingdom	SCIENCE
EVN	Euraviation - Italy	EURAVIATION
EVR	Aeronautical Academy of Europe - Portugal	DIANA
EWG	Eurowings - Germany	EUROWINGS
EWS	Enterprise World Airways - Democratic Republic of the Congo	WORLD ENTERPRISE
EWW	Emery Worldwide Airlines - United States	EMERY
EXA	Execair Aviation - Canada	CANADIAN EXECAIRE
EXB	Brazilian Army Aviation - Brazil	BRAZILIAN ARMY
EXC	European Executive Express - Sweden	ECHO EXPRESS
EXE	Executive Flight - United States	EXEC
EXF	Eximflight - Mexico	EXIMFLIGHT
EXG	Air Exchange - United States	EXCHANGE
EXH	G5 Executive - Switzerland	BATMAN
EXM	United Kingdom Civil Aviation Authority - United Kingdom	EXAM
EXN	Exin - Poland	EXIN
EXP	Business Express Delivery - Canada	EXPRESS AIR
EXP	Island Air Express - United States	ISLAND EXPRESS
EXR	Expertos En Carga - Mexico	EXPERTOS ENCARGA
EXS	Jet2.com - United Kingdom	CHANNEX
EXT	Night Express - Germany	EXECUTIVE
EXU	Executive Airlines - Spain	SACAIR
EXV	FitsAir - Sri Lanka	EXPOAVIA
EXW	Executive Airlines Services - Nigeria	ECHOLINE
EXX	International Air Corporation - United States	EXPRESS INTERNATIONAL
EXY	South African Express - South Africa	EXPRESSWAYS
EXZ	East African Safari Air Express - Kenya	TWIGA
EYE	F.S. Air Service - United States	SOCKEYE
EZB	Flugschule Eichenberger - Switzerland	EICHENBURGER
EZD	Zest Airways - Philippines	ZEST AIRWAYS
EZE	Eastern Airways - United Kingdom	EASTFLIGHT
EZJ	Ezjet GT - Guyana	GUYANA JET
EZS	easyJet Switzerland - Switzerland	TOPSWISS
EZX	Eagle Express Air Charter - Malaysia	EAGLEXPRESS
EZY	easyJet - United Kingdom	EASY
FAB	First Air - Canada	FIRST AIR
FAC	Atlantic Helicopters - Denmark	FAROECOPTER
FAD	Rog-Air - Canada	AIR FRONTIER
FAE	Freshaer - United Kingdom	WILDGOOSE
FAF	Force Aerienne Francaise - France	FRENCH AIR FORCE
FAG	Argentine Air Force - Argentina	FUAER
FAH	Farnair Hungary - Hungary	BLUE STRIP
FAK	Financial Airxpress - United States	FACTS
FAL	Friendship Air Alaska - United States	FRIENDSHIP
FAM	Fumigación Aérea Andaluza - Spain	FAASA
FAN	AF-Air International - Angola	FANBIRD
FAO	Falcon Air Express - United States	PANTHER
FAP	F Air - Czech Republic	FAIR SCHOOL
FAR	Falcon Air - Slovenia	FALCAIR
FAS	Florida Air Cargo - United States	FLORIDA CARGO
FAS	Freedom Airways - Cyprus	FREEDOM AIRWAYS
FAT	Farnair Switzerland - Switzerland	FARNER
FAU	Falcon Airline - Nigeria	FALCON AIRLINE
FAV	Fair Aviation - South Africa	FAIRAVIA
FAW	Falwell Aviation - United States	FALWELL
FAX	Midwest Air Freighters - United States	FAIRFAX
FAY	Fayban Air Services - Nigeria	FAYBAN AIR
FAZ	Flint Aviation Services - United States	FLINT AIR
FBA	Fab Air - Kyrgyzstan	FAB AIR
FBF	Fine Airlines - United States	FINE AIR
FCA	First Choice Airways - United Kingdom	JETSET
FCC	First Cambodia Airlines - Cambodia	FIRST CAMBODIA
FCE	Flycolumbia - Spain	FLYCOLUMBIA
FCI	Air Carriers - United States	FAST CHECK
FCJ	AirSprint US - United States	FRACJET
FCK	Flight Calibration Service - Germany	NAV CHECKER
FCL	Florida Coastal Airlines - United States	FLORIDA COASTAL
FCO	Aerofrisco - Mexico	AEROFRISCO
FCP	Flight Corporation - New Zealand	FLIGHTCORP
FCR	Flying Carpet Company - Lebanon	FLYING CARPET
FCS	Facts Air - Mexico	MEXFACTS
FCT	Fly CI Limited - United Kingdom	DEALER
FCV	Flight Centre Victoria - Canada	NAVAIR
FDA	African Airlines - Mali	AIR SANKORE
FDB	Flydubai - UAE	SKYDUBAI
FDL	Farmingdale State University - United States	FARMINGDALE STATE
FDN	Dolphin Air - United Arab Emirates	FLYING DOLPHIN
FDO	France Douanes - France	FRENCH CUSTOM
FDR	Federal Air - South Africa	FEDAIR
FDS	African Medical and Research Foundation - Kenya	FLYDOC
FDX	Federal Express - United States	FEDEX
FDY	Sun Air International - United States	FRIENDLY
FEA	Far Eastern Air Transport - Taiwan	FAR EASTERN
FEC	Denver Express - United States	FALCON EXPRESS
FED	Líneas Aéreas Federales - Argentina	FEDERALES
FEE	Fly Europa Limited - United Kingdom	FLY EURO
FEI	Eagle Air - Iceland	ARCTIC EAGLE
FEO	Aeroferinco - Mexico	FERINCO
FER	Feria Aviación - Spain	FERIA
FES	Aero Taxis Y Servicios Alfe - Mexico	AERO ALFE
FET	Old Dominion Freight Lines - United States	FREIGHT LINE
FEX	Flightexec - Canada	FLIGHTEXEC
FFA	Avialesookhrana - Russia	AVIALESOOKHRANA
FFB	Africair Service - Senegal	FOXTROT FOXTROT
FFC	Fairoaks Flight Centre - United Kingdom	FAIROAKS
FFD	Stuttgarter Flugdienst - Germany	FIRST FLIGHT
FFF	Freedom Air Services - Nigeria	INTER FREEDOM
FFG	Flugdienst Fehlhaber - Germany	WITCHCRAFT
FFH	Shalom Air Services - Nigeria	PEACE AIR
FFI	Infinit Air - Spain	INFINIT
FFM	Firefly - Malaysia	FIREFLY
FFP	Fischer Air Polska - Poland	FLYING FISH
FFR	Fischer Air - Czech Republic	FISCHER
FFS	Florida Department of Agriculture - United States	FORESTRY
FFT	Frontier Airlines - United States	FRONTIER FLIGHT
FFU	GEC Marconi Avionics - United Kingdom	FERRANTI
FFY	Fun Flying Thai Air Service - Thailand	FUN FLYING
FGA	Georgian Aviation Federation - Georgia	GEORGIA FED
FGC	Departament d'Agricultura de la?Generalitat de Catalunya - Spain	FORESTALS
FGE	Fly Georgia - Georgia	GEORGIA WING
FGN	Gendarmie Nationale - France	FRANCE GENDARME
FGP	Flying-Research Aerogeophysical Center - Russia	FLYING CENTER
FGS	Elitellina - Italy	ELITELLINA
FGT	Aero Freight - Mexico	FREIAERO
FHE	Hello - Switzerland	FLYHELLO
FHL	Fast Helicopters - United Kingdom	FINDON
FHS	Forth and Clyde Helicopter Services - United Kingdom	HELISCOT
FHY	Freebird Airlines - Turkey	FREEBIRD AIR
FIA	Fly One - Moldova	Fly One
FIC	Aerosafin - Mexico	AEROSAFIN
FIF	Air Finland - Finland	AIR FINLAND
FIL	Fly Line - Spain	FLYLINE
FIN	Finnair - Finland	FINNAIR
FIR	First Line Air - Sierra Leone	FIRSTLINE AIR
FIV	CitationAir - United States	FIVE STAR
FIX	Airfix Aviation - Finland	AIRFIX
FJC	Falcon Jet Centre - United Kingdom	FALCONJET
FJE	Silverjet - United Kingdom	ENVOY
FJI	Fiji Airways - Fiji	Fiji
FJM	Fly Jamaica Airways - Jamaica	GREENHEARTH
FJS	Florida Jet Service - United States	FLORIDAJET
FKI	FLM Aviation Mohrdieck - Germany	KIEL AIR
FKL	Kelner Airways - Canada	KELNER
FKS	Focus Air - United States	FOCUS
FLA	Air Florida - United States	PALM
FLA	Midway Express - United States	PALM
FLC	FINFO Flight Inspection Aircraft - United States	FLIGHT CHECK
FLE	Flair Airlines - Canada	FLAIR
FLF	Friendship Airlines - Uganda	FRIEND AIR
FLG	Pinnacle Airlines - United States	FLAGSHIP
FLH	Sky Bus - United States	MILE HIGH
FLI	Atlantic Airways - Faroe Islands	FAROELINE
FLK	Flylink Express - Spain	FLYLINK
FLL	Federal Airlines - Sweden	FEDERAL AIRLINES
FLM	Fly Air - Turkey	FLY WORLD
FLN	Flamingo Air-Line - Kazakhstan	ILIAS
FLO	Flycom - Slovenia	FLYCOM
FLR	Fleetair - South Africa	FLEETAIR
FLS	Fairlines - Netherlands	FAIRLINE
FLS	Flying Fast - Mexico	RAPIDOS
FLU	Flugschule Basel - Switzerland	YELLOW FLYER
FLW	FLowair Aviation - France	QUICKFLOW
FLX	"Flight Express, Inc." - United States	FLIGHT EXPRESS
FLY	Fly Me Sweden - Sweden	FLYBIRD
FLZ	Aero Leasing - United States	AIR FLORIDA
FMC	Claessens International Limited - United Kingdom	CLAESSENS
FMG	FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt - Germany	HUSKY
FMI	FMI Air - Myanmar	FIRST MYANMAR
FMR	Flamingo Air - United States	FLAMINGO AIR
FMS	Hadison Aviation - United States	HADI
FMY	Aviation Legere De L'Armee De Terre - France	FRENCH ARMY
FNA	Norlandair - Iceland	NORLAND
FNC	Finalair Congo - Republic of the Congo	FINALAIR CONGO
FNF	Finnish Air Force - Finland	FINNFORCE
FNG	Frontier Guard - Finland	FINNGUARD
FNK	Feniks Airline - Kazakhstan	AURIKA
FNL	Oulun Tilauslento - Finland	FINN FLIGHT
FNO	Aeroflota Del Noroeste - Spain	RIAZOR
FNT	L-3 Communications Flight International Aviation - United States	FLIGHT INTERNATIONAL
FNV	Transaviaservice - Georgia	TRANSAVIASERVICE
FNY	France Marine Nationale - France	FRENCH NAVY
FOB	Ford Motor Company - United Kingdom	FORDAIR
FOC	Office Federal De'Aviation Civile - Switzerland	FOCA
FOM	Freedom Air - New Zealand	FREE AIR
FOR	Formula One Management - United Kingdom	FORMULA
FPG	TAG Aviation - Switzerland	TAG AVIATION
FPO	Europe Airpost - France	FRENCH POST
FPS	Flightpass Limited - United Kingdom	FLIGHTPASS
FPY	African Company Airlines - Democratic Republic of the Congo	AFRICOMPANY
FQA	Quikjet Cargo Airlines - India	QUIK LIFT
FRA	FR Aviation - United Kingdom	RUSHTON
FRB	Fly Rak - United Arab Emirates	RAKWAY
FRC	Icare Franche Compte - France	FRANCHE COMPTE
FRG	Freight Runners Express - United States	FREIGHT RUNNERS
FRJ	Afrijet Airlines - Nigeria	AFRIJET
FRK	Afrika Aviation Handlers - Kenya	AFRIFAST
FRM	Federal Armored Service - United States	FEDARM
FRN	Farnair Netherlands - Netherlands	FARNED
FRQ	Afrique Chart'air - Cameroon	CHARTER AFRIQUE
FRR	Fresh Air - Nigeria	FRESH AIR
FRW	Farwest Airlines - United States	FARWEST
FRX	Fort Aero - Estonia	FORT AERO
FSA	Foster Aviation - United States	FOSTER-AIR
FSB	FSB Flugservice & Development - Germany	SEABIRD
FSC	Four Star Aviation?/?Four Star Cargo - United States	FOUR STAR
FSD	EFS-Flugservice - Germany	FLUGSERVICE
FSH	Flash Airlines - Egypt	FLASH
FSJ	Faeesky Aviation - China	FREE SKY/多维
FSL	Flight Safety Limited - United Kingdom	FLIGHTSAFETY
FSR	Flightstar Corporation - United States	FLIGHTSTAR
FSW	Faso Airways - Burkina Faso	FASO
FSX	Flagship Express Services - United States	FLAG
FSY	Algonquin Airlink - Canada	FROSTY
FTA	Frontier Flying Service - United States	FRONTIER-AIR
FTC	Air Affaires Tchad - Chad	AFFAIRES TCHAD
FTE	Fotografia F3 - Spain	FOTOGRAFIA
FTM	Flyteam Aviation - United Kingdom	FLYTEAM
FTP	Keystone Aerial Surveys - United States	FOOTPRINT
FTR	Finist'air - France	FINISTAIR
FTS	First Sabre - Mexico	FIRST SABRE
FTU	Civil Aviation Flight University of China - China	FLIGHT UNIVERSITY/飞院
FTY	ABC Bedarfsflug - Austria	FLY TYROL
FTZ	Fastjet - Tanzania	GREY BIRD
FUF	Servicios Aereos Fun Fly - Mexico	SERVIFUN
FUH	Jilin First International Aviation Academy	GALLANT/豪侠
FUJ	Fujairah Aviation Centre - United Arab Emirates	FUJAIRAH
FUM	Fuxion Line Mexico - Mexico	FUNLINE
FUN	Funtshi Aviation Service - Democratic Republic of the Congo	FUNTSHI
FUT	Aereo Futuro - Mexico	AEREO FUTURO
FVA	Cardinal/Air Virginia - United States	AIR VIRGINIA
FVS	Falcon Aviation Services - United Arab Emirates	FALCON AVIATION
FWA	Interstate Airlines - Netherlands	FREEWAYAIR
FWC	Freeway Air - Netherlands	FREEWAY
FWD	Fair Wind Air Charter - United Arab Emirates	FAIR WIND
FWI	Air Cara?bes - France	FRENCH WEST
FWL	Florida West International Airways - United States	FLO WEST
FWQ	Flight West Airlines - Australia	UNITY
FWY	Fairways Corporation - United States	FAIRWAYS
FXA	Express Air - United States	EFFEX
FXC	Fortunair Canada - Canada	AIR FUTURE
FXF	VIP Air Charter - United States	FOX FLIGHT
FXI	Air Iceland - Iceland	FAXI
FXL	Fly Excellent - Sweden	FLY EXCELLENT
FXR	Foxair - Italy	WILDFOX
FXY	Flexair - Netherlands	FLEXY
FYA	Servicios Aéreos Integrales /?Flyant - Spain	FLYANT
FYE	Easy Link Aviation Services - Nigeria	FLYME
FYG	Flying Service - Belgium	FLYING GROUP
FYH	Flyhy Cargo Airlines - Thailand	FLY HIGH
FYN	Comfort Air - Germany	FLYNN
FYS	American Flyers - United States	AMERICAN FLYERS
FZA	Fuzhou Airlines - China	STRAIT AIR/涌泉
GAA	Business Express - United States	BIZEX
GAB	Gendall Air - Canada	GENDALL
GAD	South Coast Aviation - United Kingdom	SOUTHCOAST
GAE	Grand Aire Express - United States	GRAND EXPRESS
GAF	German Air Force - Germany	GERMAN AIR FORCE
GAG	Global Air Operations - Comoros	GLOBAL AIRGROUP
GAH	Ga-Ma Helicoptere - France	GAMHELICO
GAI	Moskovia Airlines - Russia	GROMOV AIRLINE
GAK	Global Aviation and Services Group - Libya	AVIAGROUP
GAL	Galaxy Air - Kyrgyzstan	GALAXY
GAM	German Army - Germany	GERMAN ARMY
GAN	Gander Aviation - Canada	GANAIR
GAO	Golden Air - Sweden	GOLDEN
GAP	Air Philippines - Philippines	ORIENT PACIFIC
GAQ	Golfe Air Quebec - Canada	GOLFAIR
GAS	Galena Air Service - United States	GALENA AIR SERVICE
GAT	Gulf Air Inc - United States	GULF TRANS
GAU	Aerogaucho - Uruguay	AEROGAUCHO
GAV	Granada Aviación - Spain	GRANAVI
GAX	Full Express - United States	GRAND AIRE
GBA	Gulf Air Bahrain - Bahrain	GULF BAHRAIN
GBB	Global Aviation Operations - South Africa	GLOBE
GBE	Gabon Express - Gabon	GABEX
GBJ	Aero Business Charter - Germany	GLOBAL JET
GBL	GB Airways - United Kingdom	GEEBEE AIRWAYS
GBN	Atlantic Airlines - Gabon	ATLANTIC GABON
GBR	Rader Aviation - United States	GREENBRIER AIR
GBS	Global Air Services Nigeria - Nigeria	GLOBAL SERVE
GBT	A-Jet Aviation Aircraft Management - Austria	GLOBETROTTER
GBX	GB Airlink - United States	ISLAND TIGER
GCB	Lignes Nationales Aeriennes - Linacongo - Republic of the Congo	LINACONGO
GCC	GECAS - Ireland	GECAS
GCF	Aeronor - Spain	AEROCARTO
GCH	Gama Aviation Switzerland - Switzerland	GAMA SWISS
GCM	Comair Flight Services - South Africa	GLOBECOM
GCN	Gulf Central Airlines - United States	GULF CENTRAL
GCO	Gemini Air Cargo - United States	GEMINI
GCR	Tianjin Airlines - China	BOHAI/渤海
GCS	GCS Air Service - United States	GALION
GCW	Global Air Crew - Denmark	GLOBALCREW
GCY	CHC Global Operations International - United Kingdom	HELIBIRD
GDA	GoldAir - United Kingdom	AIR PARTNER
GDB	Gendarmerie Belge - Belgium	BELGIAN GENERMERIE
GDC	Grand China Air - China	GRAND CHINA/大新华
GDD	Golden Airlines - United States	GOLDEN AIRLINES
GDE	Servicios Aéreos Gadel - Mexico	GADEL
GDG	S.P. Aviation - United States	GOLDEN GATE
GDH	Guneydogu Havacilik Isletmesi - Turkey	RISING SUN
GDK	Goldeck-Flug - Austria	GOLDECK FLUG
GEA	Guinea Ecuatorial Airlines - Equatorial Guinea	GEASA
GEC	Lufthansa Cargo - Germany	LUFTHANSA CARGO
GED	Europe Air Lines - France	LANGUEDOC
GEE	Geesair - Canada	GEESAIR
GEN	GENSA - Brazil	GENSA-BRASIL
GES	Gestair - Spain	GESTAIR
GET	Get High - Portugal	AIR FLOW
GFA	Gulf Air - Oman	GULF AIR
GFC	Gail Force Express - United States	GAIL FORCE
GFD	Gesellschaft Fur Flugzieldarstellung - Germany	KITE
GFF	Griffin Aviation - Cyprus	GRIFFIN AIR
GFG	Georgian National Airlines - Georgia	NATIONAL
GFI	Caribbean Star Airlines - Antigua and Barbuda	CARIB STAR
GFN	The 955 Preservation Group - United Kingdom	GRIFFON
GFO	Aerovías del Golfo - Mexico	AEROVIAS GOLFO
GFS	Gulfstream Airlines - United States	GULFSTAR
GFT	Gulfstream International Airlines - United States	GULF FLIGHT
GGA	First Flying Squadron - United States	JAWJA
GGC	Cargo 360 - United States	LONG-HAUL
GGF	Georgian Cargo Airlines Africa - Senegal	GEORGIAN AFRICA
GGL	Aeronáutica - Angola	GIRA GLOBO
GGN	Air Georgian - Canada	GEORGIAN
GGS	GATSA - Mexico	GATSA
GGV	Houston Jet Services - Austria	GREGG AIR
GGZ	Global Georgian Airways - Georgia	GLOBAL GEORGIAN
GHA	Ghana Airways - Ghana	GHANA
GHB	Ghana International Airlines - Ghana	GHANA AIRLINES
GHL	Aviance - United Kingdom	HANDLING
GHN	Air Ghana - Ghana	AIR GHANA
GHP	Colvin Aviation - United States	GRASSHOPPER EX
GHS	Gatari Hutama Air Services - Indonesia	GATARI
GHV	Ground Handling Service de Mexico - Mexico	GROUND HANDLING
GHY	German Sky Airlines - Germany	GERMAN SKY
GIA	Garuda Indonesia - Indonesia	INDONESIA
GIB	GR-Avia - Guinea	GRAVIA
GIC	Compagnie de Bauxites de Guinee - Guinea	CEBEGE
GIG	Gacela Air Cargo - Mexico	GACELA AIR
GIH	Union des Transports Africains de Guinee - Guinea	TRANSPORT AFRICAIN
GIJ	Guinea Airways - Guinea	GUINEA AIRWAYS
GIK	Seba Airlines - Guinea	SEBA
GIL	African International Transport - Guinea	AFRICAN TRANSPORT
GIP	Air Guinee Express - Guinea	FUTURE EXPRESS
GIQ	Guinee Paramount Airlines - Guinea	GUIPAR
GIY	Probiz Guinee - Guinea	PROBIZ
GIZ	Africa Airlines - Guinea	AFRILENS
GJB	Trans-Air-Link - United States	SKY TRUCK
GJS	GoJet Airlines - United States	LINDBERGH
GJT	Gestión Aérea Ejecutiva - Spain	BANJET
GKA	US Army Parachute Team - United States	GOLDEN KNIGHTS
GLA	Great Lakes Airlines - United States	LAKES AIR
